number,school,team,exhibition,city,state,track,rank,total,Air Trajectory,Anatomy and Physiology,Astronomy,Chemistry Lab,Codebusters,Detector Building,Disease Detectives,Dynamic Planet,Ecology,Experimental Design,Fermi Questions,Flight,Forensics,Forestry,Fossils,Geologic Mapping,Microbe Mission,Optics,Robot Tour,Scrambler,Tower,Wind Power,Write It Do It
19,Great Neck South High School,,,,NY,,1,109,9,2,1,3,3,2,4,2,2,1,5,1,5,7,12,1,1,15,1,2,1,14,15
30,Langley High School,A,,,VA,,2,185,22,1,2,13,1,9,20,6,7,6,17,4,7,6,1,4,3,8,19,3,7,12,7
38,South Brunswick High School,A,,,NJ,,3,206,5,11,3,6,24,13,10,8,6,3,8,7,8,3,16,2,4,3,21,8,11,17,9
47,Tenafly High School,,,,NJ,,4,240,11,6,9,5,8,5,26,10,1,12,25,14,1,1,10,27,8,24,4,15,3,3,12
26,John Jay Senior High School,A,,,NY,,5,251,18,9,10,11,16,17,2,1,11,15,9,6,9,18,18,17,28,6,16,5,2,6,1
5,Bronx High School of Science,,,,NY,,6,252,24,8,8,1,2,14,11,3,16,5,13,3,2,8,4,5,18,19,14,29,15,1,29
49,Townsend Harris High School,A,,,NY,,7,272,1,10,11,12,10,8,14,12,30,7,20,2,10,9,6,11,24,7,25,4,10,7,22
24,Ithaca High School,A,,,NY,,8,282,3,18,15,8,7,10,19,11,8,4,1,18,22,25,13,21,2,11,12,12,16,13,13
11,Division Avenue High School,A,,,NY,,9,295,10,4,20,22,5,11,13,36,28,19,39,8,3,2,2,24,20,5,3,1,4,5,11
46,Stony Brook High School,,,,NY,,10,305,14,13,14,17,14,20,5,17,12,11,4,10,13,5,21,10,14,1,22,28,5,8,27
31,Langley High School,B,,,VA,,11,307,6,3,17,24,19,4,6,23,9,16,21,5,17,14,7,16,12,21,27,9,12,11,8
43,South Windsor High School,B,,,CT,,12,331,26,5,7,15,45,3,21,22,27,13,28,17,19,4,5,3,11,4,6,14,28,2,6
39,South Brunswick High School,B,,,NJ,,13,379,20,17,5,9,29,7,7,5,15,31,18,12,16,40,19,30,13,2,13,13,19,16,23
51,West Babylon Senior High School,A,,,NY,,14,388,2,37,12,21,9,57,1,24,17,32,31,9,6,12,9,7,23,9,7,22,14,10,17
50,Townsend Harris High School,B,,,NY,,15,392,16,7,26,36,6,21,3,9,25,27,15,20,4,33,14,12,7,17,26,18,27,9,14
17,Glastonbury High School,A,,,CT,,16,405,28,19,6,2,23,12,9,7,10,14,2,19,14,21,31,6,6,25,15,57,33,20,26
42,South Windsor High School,A,,,CT,,17,429,4,20,4,19,44,6,23,21,3,22,24,25,15,32,17,9,27,13,10,19,20,21,31
22,Hopkins School,A,,,CT,,18,429,33,15,13,14,21,26,33,18,42,26,23,11,25,15,20,13,10,14,9,7,18,18,5
36,Ridgefield High School,A,,,CT,,19,434,8,25,22,20,41,1,39,20,20,8,27,16,29,13,8,18,17,12,20,10,17,19,24
52,West Babylon Senior High School,B,,,NY,,20,503,13,34,44,29,13,24,16,30,34,23,10,24,23,22,24,14,25,10,29,24,13,4,21
53,Westborough High School,A,,,MA,,21,532,7,44,24,28,11,29,15,27,29,10,35,21,21,34,40,22,16,18,23,25,25,25,3
56,Wilton High School,,,,CT,,22,606,36,16,25,23,18,57,12,29,5,2,22,37,11,10,22,20,5,16,57,57,32,57,37
34,Randolph High School,A,,,NJ,,23,642,25,22,40,7,12,22,28,44,31,41,33,27,18,11,32,36,21,20,57,16,35,23,41
